order_id,client_id,total_sum,date_created,lat,lon
79938,459583,988.0,2018-01-02 05:09:30,47.661152400000006,62.2224172
79954,305848,1450.0,2018-01-02 07:11:45,47.619584999999994,62.1688624
79950,2943832,904.0,2018-01-02 07:14:01,49.859165000000004,47.653378
79957,668815,1622.8,2018-01-02 07:27:52,51.849238400000004,44.2043104
79962,650853,730.0,2018-01-02 08:03:06,46.869943799999994,40.2263224
79961,467268,604.0,2018-01-02 08:17:10,47.6539368,62.1895168
79963,2940662,1504.0,2018-01-02 08:24:18,46.623945600000006,40.9400416
79965,2940679,1354.0,2018-01-02 08:37:48,37.19907140000001,42.661680399999995
79966,886790,1300.0,2018-01-02 08:43:10,51.7006634,42.857872
79964,2940569,1868.8,2018-01-02 08:58:00,37.8175858,43.3342096
79968,2942251,784.0,2018-01-02 09:13:39,37.1227238,42.5292832
79967,2940801,820.0,2018-01-02 09:31:21,37.15883960000001,42.5717884
79949,2940728,820.0,2018-01-02 09:38:23,46.83232580000001,40.087792
79941,60876,1030.0,2018-01-02 09:44:10,39.284986,48.7674148
79943,164264,820.0,2018-01-02 09:49:32,47.6793104,62.216800000000006
79945,2940778,994.0,2018-01-02 09:53:46,48.580901999999995,39.0659656
79946,138560,730.0,2018-01-02 09:55:01,45.4644712,55.261997199999996
79944,449318,430.0,2018-01-02 10:10:56,51.7723392,42.7260148
79940,253329,1354.0,2018-01-02 10:26:04,47.6683302,62.1955648
79948,186884,820.0,2018-01-02 10:37:11,45.5070438,55.293085600000005
79947,2926035,1540.0,2018-01-02 10:38:14,46.8825242,40.1894128
79909,726963,430.0,2018-01-02 10:45:04,,
79902,631219,1354.0,2018-01-02 10:45:58,49.1224402,41.1613828
79901,372560,730.0,2018-01-02 10:46:21,49.8533858,47.7283192
79905,190910,730.0,2018-01-02 10:56:18,45.532219999999995,55.3038004
79906,2948362,820.0,2018-01-02 10:59:13,46.8530668,40.154422
79904,2948348,730.0,2018-01-02 11:03:19,48.148422399999994,38.935615600000006
